DistrictNbr|SYear|All_Subjects_All_Grades_Appr_18|All_Grades_ELA_Appr_18|All_Grades_Math_Appr_18
221901|17-18|73|70|79
221904|17-18|68|63|75
221905|17-18|81|81|80
221911|17-18|87|86|91
221912|17-18|92|90|95
222901|17-18|82|78|87
223901|17-18|60|54|68
223902|17-18|66|62|75
223904|17-18|82|82|85
224901|17-18|67|71|62
224902|17-18|75|73|86
225902|17-18|76|73|85
225905|17-18|69|78|78
225906|17-18|82|82|87
225907|17-18|78|84|81
226801|17-18|68|71|72
226901|17-18|82|86|84
226903|17-18|68|65|71
226905|17-18|83|82|84
226906|17-18|96|95|99
226907|17-18|63|61|68
226908|17-18|81|79|84
227803|17-18|64|64|71
227804|17-18|87|88|91
227805|17-18|68|63|67
227806|17-18|56|52|62
227814|17-18|94|94|95
227816|17-18|75|75|83
227817|17-18|77|80|79
227819|17-18|80|80|93
227820|17-18|74|72|78
227821|17-18|77|88|70
227824|17-18|65|63|66
227825|17-18|70|67|72
227826|17-18|75|79|76
227827|17-18|-1|-1|-1
227828|17-18|60|-1|-1
227901|17-18|78|76|81
227904|17-18|79|78|82
227907|17-18|65|63|70
227909|17-18|96|96|97
227910|17-18|63|58|70
227912|17-18|85|85|90
227913|17-18|92|91|93
228901|17-18|74|72|80
228903|17-18|57|53|62
228904|17-18|86|82|90
228905|17-18|64|65|70
229901|17-18|78|75|85
229903|17-18|71|69|76
229904|17-18|70|70|74
229905|17-18|62|66|57
229906|17-18|68|73|67
230901|17-18|76|73|79
230902|17-18|73|69|79
230903|17-18|77|75|81
230904|17-18|73|77|69
230905|17-18|83|85|84
230906|17-18|77|77|83
230908|17-18|87|86|91
231901|17-18|68|66|74
231902|17-18|76|78|84
232901|17-18|94|94|94
232902|17-18|62|65|66
232903|17-18|58|58|60
232904|17-18|73|76|72
233901|17-18|68|66|73
233903|17-18|89|88|94
234801|17-18|-1|-1|-1
234902|17-18|86|86|89
234903|17-18|83|79|86
234904|17-18|74|73|74
234905|17-18|85|88|85
234906|17-18|80|75|82
234907|17-18|72|70|78
234909|17-18|78|75|77
235901|17-18|60|55|63
235902|17-18|66|63|69
235904|17-18|90|88|94
236801|17-18|-1|-1|-1
236802|17-18|-1|-1|-1
236901|17-18|81|81|84
236902|17-18|62|63|63
237902|17-18|51|47|58
237904|17-18|80|75|85
237905|17-18|59|56|63
238902|17-18|61|57|67
238904|17-18|62|62|66
239901|17-18|76|71|83
239903|17-18|79|77|84
240801|17-18|37|-1|57
240901|17-18|75|67|84
240903|17-18|82|76|89
240904|17-18|76|76|78
241901|17-18|80|76|86
241902|17-18|88|87|91
241903|17-18|72|69|79
241904|17-18|61|59|65
241906|17-18|77|72|82
242902|17-18|68|62|78
242903|17-18|82|81|92
242905|17-18|77|-1|-1
242906|17-18|89|90|86
243901|17-18|72|69|77
243902|17-18|76|78|74
243903|17-18|84|82|86
243905|17-18|72|69|75
243906|17-18|73|73|80
244901|17-18|77|81|-1
244903|17-18|64|60|68
244905|17-18|74|70|81
245901|17-18|75|77|68
245902|17-18|78|73|84
245903|17-18|70|64|77
245904|17-18|78|68|92
246801|17-18|91|93|91
246802|17-18|60|73|-1
246902|17-18|66|65|70
246904|17-18|70|72|70
246905|17-18|74|73|78
246906|17-18|80|78|83
246907|17-18|73|70|80
246908|17-18|85|85|88
246909|17-18|87|85|89
246911|17-18|68|67|71
246912|17-18|81|80|78
246913|17-18|87|86|89
246914|17-18|86|92|85
247901|17-18|79|73|83
247903|17-18|87|84|93
247904|17-18|88|88|91
247906|17-18|83|80|87
248901|17-18|59|56|63
248902|17-18|69|64|75
249901|17-18|83|83|90
249902|17-18|76|75|79
249903|17-18|74|71|79
249904|17-18|79|78|83
249905|17-18|80|78|85
249906|17-18|83|82|87
249908|17-18|79|79|86
250902|17-18|78|75|83
250903|17-18|77|76|82
250904|17-18|83|82|88
250905|17-18|71|67|75
250906|17-18|77|79|80
250907|17-18|82|82|85
251901|17-18|75|77|75
251902|17-18|68|68|67
252901|17-18|74|72|80
252902|17-18|83|79|90
252903|17-18|83|80|85
253901|17-18|65|61|73
254901|17-18|62|59|67
254902|17-18|75|72|81
